    Step    Atoms         KinEng            CPU         Volume 
  150001     1005  2.3338009e-06              0          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  175001     1005  2.8241196e-07  1.5004217e-06      840.47342          0.011 
  175501     1005  3.4612304e-07  1.8696754e-06      833.01736          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  175501     1005  3.4612304e-07  1.8696754e-06      840.47342          0.011 
  176000     1005    4.16656e-07  2.2728508e-06      833.04747          0.011 
  176001     1005   4.168095e-07  2.2736913e-06      833.03259          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  176001     1005   4.168095e-07  2.2736913e-06      840.47342          0.011 
  176501     1005  4.9893396e-07  2.7067008e-06      833.04739          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  176501     1005  4.9893396e-07  2.7067008e-06      840.47342          0.011 
  177000     1005  5.8467223e-07  3.1573973e-06      833.07658          0.011 
  177001     1005  5.8484086e-07  3.1583132e-06      833.06175          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  177001     1005  5.8484086e-07  3.1583132e-06      840.47342          0.011 
  177501     1005  6.6667522e-07  3.6208449e-06       833.0757          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  177501     1005  6.6667522e-07  3.6208449e-06      840.47342          0.011 
  178000     1005  7.4837637e-07  4.0910716e-06        833.104          0.011 
  178001     1005  7.4854605e-07  4.0920223e-06      833.08923          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  178001     1005  7.4854605e-07  4.0920223e-06      840.47342          0.011 
  178501     1005  8.3694639e-07  4.5699976e-06      833.10234          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  178501     1005  8.3694639e-07  4.5699976e-06      840.47342          0.011 
  179000     1005  9.2734967e-07  5.0464473e-06      833.12976          0.011 
  179001     1005  9.2752659e-07  5.0473949e-06      833.11504          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  179001     1005  9.2752659e-07  5.0473949e-06      840.47342          0.011 
  179501     1005  1.0121328e-06   5.514618e-06      833.12734          0.011 
